Text: '[ COMPANY LOGO ]' | Color: 888888 | Size: 9.0 | Bold: None | Italic: None
Text: 'Customized Manufacturing ERP' | Color: 222222 | Size: 22.0 | Bold: True | Italic: None
Text: 'Software Design, Development &' | Color: 172A6C | Size: 15.0 | Bold: None | Italic: True
Text: 'MANUFACTURING  •  INVENTORY  •' | Color: EA6B23 | Size: 9.0 | Bold: True | Italic: None
Text: 'BUSINESS OBJECTIVE' | Color: EA6B23 | Size: 8.0 | Bold: True | Italic: None
Text: '[One to two sentences on the c' | Color: 222222 | Size: 10.5 | Bold: None | Italic: True
Text: 'PROPOSED SOLUTION' | Color: EA6B23 | Size: 8.0 | Bold: True | Italic: None
Text: '[One to two sentences on the p' | Color: 222222 | Size: 10.5 | Bold: None | Italic: True
Text: '01  ' | Color: D8CBB0 | Size: 22.0 | Bold: True | Italic: None
Text: 'Project Overview' | Color: 172A6C | Size: 15.0 | Bold: True | Italic: None
Text: '[1–2 sentence restatement of t' | Color: 222222 | Size: 10.5 | Bold: None | Italic: True
Text: 'Module Flow' | Color: 172A6C | Size: 11.0 | Bold: True | Italic: None
Text: 'Purchase  →  Inventory  →  Pro' | Color: 172A6C | Size: 10.0 | Bold: True | Italic: None
Text: 'Module Summary' | Color: 172A6C | Size: 11.0 | Bold: True | Italic: None
Text: 'Purchase — vendor POs, shortag' | Color: 222222 | Size: 10.5 | Bold: False | Italic: None
Text: 'Inventory — multi-location sto' | Color: 222222 | Size: 10.5 | Bold: False | Italic: None
Text: 'Production — multi-level BOMs,' | Color: 222222 | Size: 10.5 | Bold: False | Italic: None
Text: 'Sales & Dispatch — sales order' | Color: 222222 | Size: 10.5 | Bold: False | Italic: None
Text: 'HR & Payroll — employee master' | Color: 222222 | Size: 10.5 | Bold: False | Italic: None
Text: 'Reports & Access Control — on-' | Color: 222222 | Size: 10.5 | Bold: False | Italic: None
Text: '02  ' | Color: D8CBB0 | Size: 22.0 | Bold: True | Italic: None
Text: 'Detailed Functional Scope' | Color: 172A6C | Size: 15.0 | Bold: True | Italic: None
Text: 'Purchase' | Color: 172A6C | Size: 11.0 | Bold: True | Italic: None
Text: 'Material requirement visibilit' | Color: 222222 | Size: 10.5 | Bold: False | Italic: None
Text: 'Purchase Orders raised against' | Color: 222222 | Size: 10.5 | Bold: False | Italic: None
Text: 'PO status tracking — Open, Par' | Color: 222222 | Size: 10.5 | Bold: False | Italic: None
Text: 'GRN entry with partial/multipl' | Color: 222222 | Size: 10.5 | Bold: False | Italic: None
Text: 'Inventory' | Color: 172A6C | Size: 11.0 | Bold: True | Italic: None
Text: 'Multi-location stock — raw mat' | Color: 222222 | Size: 10.5 | Bold: False | Italic: None
Text: 'Stock transfers between locati' | Color: 222222 | Size: 10.5 | Bold: False | Italic: None
Text: 'Reorder alerts when stock fall' | Color: 222222 | Size: 10.5 | Bold: False | Italic: None
Text: 'Stock adjustments after physic' | Color: 222222 | Size: 10.5 | Bold: False | Italic: None
Text: 'Stock valuation by item and lo' | Color: 222222 | Size: 10.5 | Bold: False | Italic: None
Text: 'Production' | Color: 172A6C | Size: 11.0 | Bold: True | Italic: None
Text: 'Bills of Materials, including ' | Color: 222222 | Size: 10.5 | Bold: False | Italic: None
Text: 'Routing and stage-wise trackin' | Color: 222222 | Size: 10.5 | Bold: False | Italic: None
Text: 'Job-work tracking — material s' | Color: 222222 | Size: 10.5 | Bold: False | Italic: None
Text: 'Work Orders with BOM auto-expl' | Color: 222222 | Size: 10.5 | Bold: False | Italic: None
Text: 'Live production status and com' | Color: 222222 | Size: 10.5 | Bold: False | Italic: None
Text: 'Sales & Dispatch' | Color: 172A6C | Size: 11.0 | Bold: True | Italic: None
Text: 'Sales Orders with items, quant' | Color: 222222 | Size: 10.5 | Bold: False | Italic: None
Text: 'Dispatch Notes / Delivery Chal' | Color: 222222 | Size: 10.5 | Bold: False | Italic: None
Text: 'Real-time finished-goods visib' | Color: 222222 | Size: 10.5 | Bold: False | Italic: None
Text: 'Order status tracking — Pendin' | Color: 222222 | Size: 10.5 | Bold: False | Italic: None
Text: 'HR & Payroll' | Color: 172A6C | Size: 11.0 | Bold: True | Italic: None
Text: 'Employee master for permanent ' | Color: 222222 | Size: 10.5 | Bold: False | Italic: None
Text: 'Daily attendance marking, indi' | Color: 222222 | Size: 10.5 | Bold: False | Italic: None
Text: 'Leave types and balances track' | Color: 222222 | Size: 10.5 | Bold: False | Italic: None
